model,total_params,trainable_params,train_time_s,val_auc,test_auc,test_recall,timestamp
fastai_xresnet1d101,1811852,1811852,1231.2,0.9627,0.9482,0.4682,20260515_151916
cfc_ncp,97836,91756,849.1,0.9169,0.9034,0.3326,20260515_151916
fastai_inception1d,476940,476940,1633.5,0.9625,0.9459,0.4652,20260515_151916
fastai_lstm,813580,813580,1757.0,0.9649,0.9496,0.3836,20260515_151916
fastai_gru,612876,612876,1468.4,0.9648,0.9504,0.4452,20260515_151916
fastai_resnet1d_wang,442636,442636,503.5,0.962,0.929,0.3881,20260515_151916
wavelet_rf,N/A,N/A,125.2,0.8407,0.8719,0.2386,20260515_151916
ctrnn,1612,1612,4379.3,0.5811,0.6137,0.0833,20260515_151916
ensemble,N/A,N/A,N/A,0.9789,0.9629,0.3543,20260515_151916
fastai_xresnet1d101,1811852,1811852,1250.5,0.9552,0.9406,0.4655,20260516_125150
cfc_ncp,97836,91756,799.1,0.9228,0.908,0.7275,20260516_125150
fastai_inception1d,476940,476940,1641.2,0.9571,0.9292,0.44,20260516_125150
fastai_lstm,813580,813580,1726.9,0.9754,0.9614,0.4287,20260516_125150
fastai_gru,612876,612876,1435.4,0.9692,0.9542,0.3951,20260516_125150
fastai_resnet1d_wang,442636,442636,493.4,0.9446,0.9396,0.3812,20260516_125150
wavelet_rf,N/A,N/A,119.3,0.8465,0.8726,0.242,20260516_125150
ctrnn,1612,1612,4514.3,0.5748,0.6244,0.0833,20260516_125150
ensemble,N/A,N/A,N/A,0.9729,0.9526,0.3764,20260516_125150
fastai_xresnet1d101,1811852,1811852,1247.1,0.9515,0.9506,0.4549,20260516_181532
cfc_ncp,97836,91756,751.9,0.9581,0.945,0.5691,20260516_181532
fastai_inception1d,476940,476940,1655.8,0.9584,0.9322,0.3902,20260516_181532
fastai_lstm,813580,813580,1713.9,0.9772,0.9639,0.3946,20260516_181532
fastai_gru,612876,612876,1426.6,0.9724,0.967,0.5004,20260516_181532
fastai_resnet1d_wang,442636,442636,496.8,0.9577,0.9283,0.3821,20260516_181532
wavelet_rf,N/A,N/A,158.7,0.8674,0.8761,0.2639,20260516_181532
ctrnn,1612,1612,3726.1,0.5871,0.6307,0.0832,20260516_181532
ensemble,N/A,N/A,N/A,0.9801,0.9682,0.3878,20260516_181532
fastai_xresnet1d101,1811852,1811852,1240.0,0.9655,0.9383,0.4312,20260517_123046
cfc_ncp,295724,273452,758.4,0.9625,0.9482,0.5176,20260517_123046
fastai_inception1d,476940,476940,1657.1,0.9595,0.9407,0.4026,20260517_123046
fastai_lstm,813580,813580,1730.9,0.9667,0.9625,0.416,20260517_123046
fastai_gru,612876,612876,1432.9,0.9662,0.9508,0.4338,20260517_123046
fastai_resnet1d_wang,442636,442636,489.0,0.952,0.9452,0.397,20260517_123046
wavelet_rf,N/A,N/A,136.7,0.8653,0.888,0.2935,20260517_123046
ctrnn,1612,1612,3951.6,0.5762,0.6105,0.0833,20260517_123046
ensemble,N/A,N/A,N/A,0.9803,0.9675,0.3853,20260517_123046
fastai_xresnet1d101,1811852,1811852,1228.7,0.961,0.9458,0.4482,20260518_005734
cfc_ncp,295853,273581,794.9,0.9728,0.9665,0.6688,20260518_005734
fastai_inception1d,476940,476940,1611.0,0.9727,0.9498,0.4401,20260518_005734
fastai_lstm,813580,813580,1731.1,0.9708,0.9572,0.39,20260518_005734
fastai_gru,612876,612876,1440.7,0.9691,0.9583,0.4202,20260518_005734
fastai_resnet1d_wang,442636,442636,492.7,0.9525,0.9375,0.4412,20260518_005734
wavelet_rf,N/A,N/A,123.1,0.8366,0.8796,0.3085,20260518_005734
ctrnn,1612,1612,4000.9,0.5846,0.6267,0.0832,20260518_005734
ensemble,N/A,N/A,N/A,0.984,0.9751,0.383,20260518_005734
fastai_xresnet1d101,1811852,1811852,1225.7,0.9609,0.9583,0.5154,20260525_101745
cfc_ncp,357293,335021,1038.4,0.9777,0.9651,0.6875,20260525_101745
fastai_inception1d,476940,476940,1612.7,0.9697,0.9508,0.4208,20260525_101745
fastai_lstm,813580,813580,1732.8,0.9688,0.9435,0.4048,20260525_101745
fastai_gru,612876,612876,1439.6,0.9654,0.9567,0.4302,20260525_101745
fastai_resnet1d_wang,442636,442636,490.1,0.9552,0.9362,0.3829,20260525_101745
wavelet_rf,N/A,N/A,116.7,0.8723,0.886,0.2627,20260525_101745
ctrnn,1612,1612,4081.1,0.5871,0.6251,0.0833,20260525_101745
ensemble,N/A,N/A,N/A,0.9855,0.9782,0.3896,20260525_101745
