model,total_params,trainable_params,train_time_s,val_auc,test_auc,test_recall,timestamp
fastai_xresnet1d101,1817495,1817495,1515.4,0.8614,0.882,0.3362,20260515_154136
cfc_ncp,98551,92471,918.6,0.8634,0.8629,0.2464,20260515_154136
fastai_inception1d,479767,479767,2003.9,0.9038,0.9004,0.3288,20260515_154136
fastai_lstm,822039,822039,2201.9,0.8978,0.9187,0.3446,20260515_154136
fastai_gru,621335,621335,1809.7,0.8952,0.906,0.3236,20260515_154136
fastai_resnet1d_wang,445463,445463,588.7,0.9108,0.9093,0.3301,20260515_154136
wavelet_rf,N/A,N/A,138.6,0.8431,0.8534,0.2069,20260515_154136
ctrnn,2327,2327,4634.3,0.5996,0.608,0.0187,20260515_154136
ensemble,N/A,N/A,N/A,0.923,0.9244,0.2776,20260515_154136
fastai_xresnet1d101,1817495,1817495,1509.1,0.8542,0.8789,0.3375,20260516_125239
cfc_ncp,98551,92471,821.7,0.8348,0.8359,0.7647,20260516_125239
fastai_inception1d,479767,479767,2083.2,0.9042,0.9066,0.3384,20260516_125239
fastai_lstm,822039,822039,3337.1,0.9029,0.9095,0.3472,20260516_125239
fastai_gru,621335,621335,2844.4,0.8957,0.9201,0.3279,20260516_125239
fastai_resnet1d_wang,445463,445463,883.7,0.9035,0.9103,0.3377,20260516_125239
wavelet_rf,N/A,N/A,132.3,0.8243,0.8406,0.1947,20260516_125239
ctrnn,2327,2327,4294.1,0.6113,0.613,0.0176,20260516_125239
ensemble,N/A,N/A,N/A,0.9011,0.9056,0.3047,20260516_125239
fastai_xresnet1d101,1817495,1817495,1214.3,0.8597,0.8763,0.3404,20260516_181502
cfc_ncp,98551,92471,881.6,0.8831,0.8908,0.5545,20260516_181502
fastai_inception1d,479767,479767,1552.0,0.8934,0.9043,0.3407,20260516_181502
fastai_lstm,822039,822039,1718.1,0.9192,0.9153,0.3368,20260516_181502
fastai_gru,621335,621335,1417.5,0.8974,0.9172,0.3323,20260516_181502
fastai_resnet1d_wang,445463,445463,484.8,0.9008,0.9024,0.3292,20260516_181502
wavelet_rf,N/A,N/A,151.0,0.8414,0.8565,0.2055,20260516_181502
ctrnn,2327,2327,4934.8,0.6088,0.6116,0.0163,20260516_181502
ensemble,N/A,N/A,N/A,0.9168,0.9205,0.3067,20260516_181502
fastai_xresnet1d101,1817495,1817495,1204.6,0.8644,0.8647,0.3443,20260517_123129
cfc_ncp,297143,274871,770.8,0.8849,0.9034,0.558,20260517_123129
fastai_inception1d,479767,479767,1551.2,0.8976,0.9022,0.3267,20260517_123129
fastai_lstm,822039,822039,1690.2,0.9139,0.9196,0.3317,20260517_123129
fastai_gru,621335,621335,1383.6,0.893,0.9112,0.3316,20260517_123129
fastai_resnet1d_wang,445463,445463,476.2,0.909,0.9201,0.3332,20260517_123129
wavelet_rf,N/A,N/A,120.6,0.8215,0.8604,0.2024,20260517_123129
ctrnn,2327,2327,4040.6,0.6082,0.6089,0.0177,20260517_123129
ensemble,N/A,N/A,N/A,0.9109,0.9249,0.3046,20260517_123129
fastai_xresnet1d101,1817495,1817495,1204.6,0.8594,0.8818,0.3456,20260518_005705
cfc_ncp,297272,275000,786.4,0.9024,0.9072,0.5615,20260518_005705
fastai_inception1d,479767,479767,1530.1,0.8991,0.8999,0.334,20260518_005705
fastai_lstm,822039,822039,1700.0,0.9038,0.9126,0.3475,20260518_005705
fastai_gru,621335,621335,1404.4,0.8973,0.9169,0.3356,20260518_005705
fastai_resnet1d_wang,445463,445463,469.5,0.9099,0.9101,0.3351,20260518_005705
wavelet_rf,N/A,N/A,121.7,0.8356,0.8508,0.2068,20260518_005705
ctrnn,2327,2327,3916.3,0.6061,0.6102,0.0177,20260518_005705
ensemble,N/A,N/A,N/A,0.9212,0.9288,0.3105,20260518_005705
fastai_xresnet1d101,1817495,1817495,1475.7,0.8545,0.8852,0.3631,20260524_203222
cfc_ncp,358712,336440,965.4,0.8852,0.893,0.5955,20260524_203222
fastai_inception1d,479767,479767,1632.8,0.9123,0.9101,0.3322,20260524_203222
fastai_lstm,822039,822039,1733.3,0.901,0.9176,0.3291,20260524_203222
fastai_gru,621335,621335,1448.2,0.9028,0.9116,0.329,20260524_203222
fastai_resnet1d_wang,445463,445463,548.3,0.9041,0.898,0.3281,20260524_203222
wavelet_rf,N/A,N/A,121.7,0.8489,0.8553,0.1995,20260524_203222
ctrnn,2327,2327,3668.8,0.6087,0.6135,0.0176,20260524_203222
ensemble,N/A,N/A,N/A,0.9263,0.9241,0.314,20260524_203222
cfc_ncp,358712,336440,2218.8,0.8827,0.8863,0.5694,20260526_012930
fastai_xresnet1d101,1817495,1817495,1174.7,0.8669,0.881,0.327,20260526_012930
fastai_inception1d,479767,479767,1528.9,0.8837,0.9071,0.3314,20260526_012930
fastai_lstm,822039,822039,1705.4,0.893,0.9169,0.3401,20260526_012930
fastai_gru,621335,621335,1386.7,0.9096,0.9117,0.3221,20260526_012930
fastai_resnet1d_wang,445463,445463,452.8,0.8983,0.914,0.3232,20260526_012930
wavelet_rf,N/A,N/A,119.9,0.8358,0.8638,0.1895,20260526_012930
ctrnn,2327,2327,4717.2,0.609,0.6095,0.0179,20260526_012930
ensemble,N/A,N/A,N/A,0.9193,0.9182,0.3018,20260526_012930
cfc_ncp,199992,191032,995.5,0.8925,0.8883,0.616,20260526_110125
fastai_xresnet1d101,1817495,1817495,1200.3,0.8656,0.8637,0.3477,20260526_110125
fastai_inception1d,479767,479767,1650.0,0.9012,0.886,0.3344,20260526_110125
fastai_lstm,822039,822039,1904.5,0.9134,0.9119,0.3514,20260526_110125
fastai_gru,621335,621335,1803.9,0.8969,0.9118,0.3373,20260526_110125
fastai_resnet1d_wang,445463,445463,482.5,0.9122,0.9122,0.3307,20260526_110125
wavelet_rf,N/A,N/A,118.9,0.8261,0.8499,0.198,20260526_110125
ctrnn,2327,2327,3831.4,0.611,0.6162,0.0163,20260526_110125
ensemble,N/A,N/A,N/A,0.9212,0.9196,0.3092,20260526_110125
cfc_ncp,138552,129592,847.4,0.8869,0.8757,0.5517,20260529_120341
cfc_ncp_no_stft,297272,275000,930.2,0.8994,0.9028,0.5814,20260529_120341
cfc_ncp_no_attn,358583,336311,1137.8,0.8818,0.8779,0.4842,20260529_120341
cfc_ncp_no_mask,358712,336440,1108.9,0.8897,0.8944,0.646,20260529_120341
fastai_xresnet1d101,1817495,1817495,1180.1,0.8719,0.8909,0.3585,20260529_120341
fastai_inception1d,479767,479767,1512.6,0.9064,0.9058,0.3311,20260529_120341
fastai_lstm,822039,822039,1692.9,0.9043,0.9146,0.3243,20260529_120341
fastai_gru,621335,621335,1457.8,0.9053,0.9148,0.326,20260529_120341
fastai_resnet1d_wang,445463,445463,452.4,0.9038,0.9099,0.3321,20260529_120341
wavelet_rf,N/A,N/A,165.3,0.836,0.8558,0.1939,20260529_120341
ctrnn,2327,2327,4049.7,0.6058,0.611,0.0165,20260529_120341
ensemble,N/A,N/A,N/A,0.9208,0.9191,0.3531,20260529_120341
