model,total_params,trainable_params,train_time_s,val_auc,test_auc,timestamp
cfc_ncp,26597,23845,641.4,0.8875,0.8736,20260504_193018
fastai_lstm,N/A,N/A,2091.0,0.9144,0.9121,20260504_193018
fastai_gru,N/A,N/A,1833.2,0.9144,0.9174,20260504_193018
fastai_resnet1d_wang,N/A,N/A,606.4,0.9077,0.9109,20260504_193018
ensemble,N/A,N/A,N/A,0.9259,0.9252,20260504_193018
cfc_ncp,26597,23845,530.0,0.8835,0.8749,20260504_215325
fastai_lstm,N/A,N/A,1781.3,0.913,0.9114,20260504_215325
fastai_gru,N/A,N/A,1509.0,0.9134,0.9156,20260504_215325
fastai_resnet1d_wang,N/A,N/A,531.3,0.9123,0.9099,20260504_215325
ensemble,N/A,N/A,N/A,0.9259,0.9241,20260504_215325
cfc_ncp,97381,91301,375.4,0.9112,0.9022,20260504_235206
fastai_lstm,N/A,N/A,1779.5,0.9128,0.9152,20260504_235206
fastai_gru,N/A,N/A,1483.5,0.9151,0.9167,20260504_235206
fastai_resnet1d_wang,N/A,N/A,530.5,0.9128,0.9064,20260504_235206
ensemble,N/A,N/A,N/A,0.931,0.9293,20260504_235206
cfc_ncp,97381,91301,385.2,0.9087,0.8993,20260505_103751
fastai_lstm,808197,808197,1775.0,0.9114,0.9088,20260505_103751
fastai_gru,607493,607493,1497.4,0.9119,0.9138,20260505_103751
fastai_resnet1d_wang,440837,440837,524.4,0.9083,0.9106,20260505_103751
ensemble,N/A,N/A,N/A,0.9296,0.9272,20260505_103751
fastai_inception1d,475141,475141,1515.8,0.9112,0.9066,20260506_233259
cfc_ncp,97381,91301,766.1,0.9079,0.8973,20260506_233259
fastai_lstm,808197,808197,1705.3,0.9141,0.9135,20260506_233259
fastai_gru,607493,607493,1402.0,0.9109,0.913,20260506_233259
fastai_resnet1d_wang,440837,440837,468.2,0.91,0.9087,20260506_233259
wavelet_rf,N/A,N/A,118.9,0.8772,0.8724,20260506_233259
ctrnn,1157,1157,5080.9,0.6069,0.6005,20260506_233259
ltc_ncp,44741,35941,55173.4,0.8729,0.8642,20260506_233259
ensemble,N/A,N/A,N/A,0.9279,0.9235,20260506_233259
cfc_ncp,97381,91301,914.6,0.9061,0.9026,20260508_102234
ltc_ncp,44741,35941,53329.6,0.8476,0.8409,20260508_102234
fastai_inception1d,475141,475141,1595.6,0.906,0.9063,20260508_102234
fastai_lstm,808197,808197,1771.4,0.9122,0.9137,20260508_102234
fastai_gru,607493,607493,1475.0,0.9132,0.9149,20260508_102234
fastai_resnet1d_wang,440837,440837,535.2,0.9112,0.9097,20260508_102234
wavelet_rf,N/A,N/A,130.1,0.8775,0.8698,20260508_102234
ctrnn,1157,1157,3746.0,0.6057,0.6025,20260508_102234
ensemble,N/A,N/A,N/A,0.9266,0.9224,20260508_102234
cfc_ncp,97381,91301,785.6,0.9066,0.8991,20260510_002329
ltc_ncp,44741,35941,56241.9,0.8422,0.8349,20260510_002329
fastai_inception1d,475141,475141,1513.9,0.909,0.9086,20260510_002329
fastai_lstm,808197,808197,1696.2,0.9094,0.9126,20260510_002329
fastai_gru,607493,607493,1395.4,0.9122,0.9146,20260510_002329
fastai_resnet1d_wang,440837,440837,456.5,0.91,0.9067,20260510_002329
wavelet_rf,N/A,N/A,114.5,0.881,0.8714,20260510_002329
ctrnn,1157,1157,3902.5,0.6127,0.605,20260510_002329
ensemble,N/A,N/A,N/A,0.9265,0.9225,20260510_002329
cfc_ncp,97381,91301,764.5,0.9058,0.8973,20260510_225243
ltc_ncp,44741,35941,58146.8,0.8576,0.849,20260510_225243
fastai_inception1d,475141,475141,1522.8,0.906,0.9106,20260510_225243
fastai_lstm,808197,808197,1700.6,0.9086,0.9098,20260510_225243
fastai_gru,607493,607493,1394.3,0.9127,0.918,20260510_225243
fastai_resnet1d_wang,440837,440837,455.6,0.9088,0.9084,20260510_225243
wavelet_rf,N/A,N/A,113.9,0.8788,0.8702,20260510_225243
ctrnn,1157,1157,3839.8,0.6049,0.6065,20260510_225243
ensemble,N/A,N/A,N/A,0.9275,0.9233,20260510_225243
fastai_xresnet1d101,1808261,1808261,1216.5,0.8964,0.8957,20260512_003716
cfc_ncp,97381,91301,857.4,0.909,0.8969,20260512_003716
ltc_ncp,80293,71493,78638.4,0.9115,0.9064,20260512_003716
fastai_inception1d,475141,475141,1553.1,0.9065,0.906,20260512_003716
fastai_lstm,808197,808197,1713.0,0.9105,0.9097,20260512_003716
fastai_gru,607493,607493,1405.6,0.9117,0.9155,20260512_003716
fastai_resnet1d_wang,440837,440837,476.9,0.9102,0.9106,20260512_003716
wavelet_rf,N/A,N/A,117.0,0.88,0.8717,20260512_003716
ctrnn,1157,1157,3960.2,0.609,0.6047,20260512_003716
ensemble,N/A,N/A,N/A,0.9305,0.9258,20260512_003716
fastai_xresnet1d101,1808261,1808261,1216.6,0.8943,0.8877,20260513_083105
cfc_ncp,97381,91301,791.0,0.9084,0.9007,20260513_083105
ltc_ncp,80293,71493,76325.9,0.9101,0.9034,20260513_083105
fastai_inception1d,475141,475141,1549.8,0.9128,0.9059,20260513_083105
fastai_lstm,808197,808197,1715.7,0.9088,0.9125,20260513_083105
fastai_gru,607493,607493,1412.9,0.9135,0.9129,20260513_083105
fastai_resnet1d_wang,440837,440837,474.6,0.9128,0.9074,20260513_083105
wavelet_rf,N/A,N/A,119.2,0.8771,0.8698,20260513_083105
ctrnn,1157,1157,3736.6,0.6094,0.6054,20260513_083105
ensemble,N/A,N/A,N/A,0.931,0.925,20260513_083105
